table,legacy_row,key,accepted_exact,strict_exact,same_xi_distance,reason,disposition
crossover,229,"{""muq_MeV"":90.0,""xi"":0.2}",False,False,8.422151596890998,accepted_key_grid_differs_from_legacy,nearest_accepted_support
crossover,230,"{""muq_MeV"":120.0,""xi"":0.2}",False,False,3.027689496113993,accepted_key_grid_differs_from_legacy,nearest_accepted_support
crossover,231,"{""muq_MeV"":150.0,""xi"":0.2}",False,False,2.366772604662998,accepted_key_grid_differs_from_legacy,nearest_accepted_support
crossover,232,"{""muq_MeV"":180.0,""xi"":0.2}",False,False,7.761234705441012,accepted_key_grid_differs_from_legacy,nearest_accepted_support
crossover,233,"{""muq_MeV"":210.0,""xi"":0.2}",False,False,11.449841093005006,accepted_key_grid_differs_from_legacy,nearest_accepted_support
crossover,234,"{""muq_MeV"":240.0,""xi"":0.2}",False,False,6.055378992227986,accepted_key_grid_differs_from_legacy,nearest_accepted_support
crossover,235,"{""muq_MeV"":270.0,""xi"":0.2}",False,False,0.6609168914509951,accepted_key_grid_differs_from_legacy,nearest_accepted_support
crossover,236,"{""muq_MeV"":300.0,""xi"":0.2}",False,False,4.733545209327019,accepted_key_grid_differs_from_legacy,nearest_accepted_support
crossover,237,"{""muq_MeV"":330.0,""xi"":0.2}",False,False,,legacy_derivative_peak_not_physical_crossover,excluded_above_cep_proxy
crossover,238,"{""muq_MeV"":360.0,""xi"":0.2}",False,False,,legacy_derivative_peak_not_physical_crossover,excluded_above_cep_proxy
crossover,239,"{""muq_MeV"":390.0,""xi"":0.2}",False,False,,legacy_derivative_peak_not_physical_crossover,excluded_above_cep_proxy
crossover,240,"{""muq_MeV"":420.0,""xi"":0.2}",False,False,,legacy_derivative_peak_not_physical_crossover,excluded_above_cep_proxy
crossover,241,"{""muq_MeV"":450.0,""xi"":0.2}",False,False,,legacy_derivative_peak_not_physical_crossover,excluded_above_cep_proxy
crossover,242,"{""muq_MeV"":0.0,""xi"":0.25}",True,True,0.0,accepted_primary_exact,exact_accepted_key
crossover,243,"{""muq_MeV"":30.0,""xi"":0.25}",False,False,5.275277028756001,accepted_key_grid_differs_from_legacy,nearest_accepted_support
crossover,244,"{""muq_MeV"":60.0,""xi"":0.25}",False,False,10.550554057512002,accepted_key_grid_differs_from_legacy,nearest_accepted_support
crossover,245,"{""muq_MeV"":90.0,""xi"":0.25}",False,False,8.898891884975995,accepted_key_grid_differs_from_legacy,nearest_accepted_support
crossover,246,"{""muq_MeV"":120.0,""xi"":0.25}",False,False,3.623614856220996,accepted_key_grid_differs_from_legacy,nearest_accepted_support
crossover,247,"{""muq_MeV"":150.0,""xi"":0.25}",False,False,1.6516621725349978,accepted_key_grid_differs_from_legacy,nearest_accepted_support
crossover,248,"{""muq_MeV"":180.0,""xi"":0.25}",False,False,6.926939201290992,accepted_key_grid_differs_from_legacy,nearest_accepted_support
crossover,249,"{""muq_MeV"":210.0,""xi"":0.25}",False,False,12.202216230046986,accepted_key_grid_differs_from_legacy,nearest_accepted_support
crossover,250,"{""muq_MeV"":240.0,""xi"":0.25}",False,False,7.247229712440998,accepted_key_grid_differs_from_legacy,nearest_accepted_support
crossover,251,"{""muq_MeV"":270.0,""xi"":0.25}",False,False,1.9719526836850036,accepted_key_grid_differs_from_legacy,nearest_accepted_support
crossover,252,"{""muq_MeV"":300.0,""xi"":0.25}",False,False,3.303324345071019,accepted_key_grid_differs_from_legacy,nearest_accepted_support
crossover,253,"{""muq_MeV"":330.0,""xi"":0.25}",False,False,,legacy_derivative_peak_not_physical_crossover,excluded_above_cep_proxy
crossover,254,"{""muq_MeV"":360.0,""xi"":0.25}",False,False,,legacy_derivative_peak_not_physical_crossover,excluded_above_cep_proxy
crossover,255,"{""muq_MeV"":390.0,""xi"":0.25}",False,False,,legacy_derivative_peak_not_physical_crossover,excluded_above_cep_proxy
crossover,256,"{""muq_MeV"":420.0,""xi"":0.25}",False,False,,legacy_derivative_peak_not_physical_crossover,excluded_above_cep_proxy
crossover,257,"{""muq_MeV"":450.0,""xi"":0.25}",False,False,,legacy_derivative_peak_not_physical_crossover,excluded_above_cep_proxy
crossover,258,"{""muq_MeV"":0.0,""xi"":0.3}",True,True,0.0,accepted_primary_exact,exact_accepted_key
crossover,259,"{""muq_MeV"":30.0,""xi"":0.3}",False,False,5.159146564918,accepted_key_grid_differs_from_legacy,nearest_accepted_support
crossover,260,"{""muq_MeV"":60.0,""xi"":0.3}",False,False,10.318293129834998,accepted_key_grid_differs_from_legacy,nearest_accepted_support
crossover,261,"{""muq_MeV"":90.0,""xi"":0.3}",False,False,9.363413740330003,accepted_key_grid_differs_from_legacy,nearest_accepted_support
crossover,262,"{""muq_MeV"":120.0,""xi"":0.3}",False,False,4.204267175411999,accepted_key_grid_differs_from_legacy,nearest_accepted_support
crossover,263,"{""muq_MeV"":150.0,""xi"":0.3}",False,False,0.9548793895050096,accepted_key_grid_differs_from_legacy,nearest_accepted_support
crossover,264,"{""muq_MeV"":180.0,""xi"":0.3}",False,False,6.114025954422999,accepted_key_grid_differs_from_legacy,nearest_accepted_support
crossover,265,"{""muq_MeV"":210.0,""xi"":0.3}",False,False,11.273172519339994,accepted_key_grid_differs_from_legacy,nearest_accepted_support
crossover,266,"{""muq_MeV"":240.0,""xi"":0.3}",False,False,8.408534350824993,accepted_key_grid_differs_from_legacy,nearest_accepted_support
crossover,267,"{""muq_MeV"":270.0,""xi"":0.3}",False,False,3.249387785907004,accepted_key_grid_differs_from_legacy,nearest_accepted_support
