channel,xi,T_MeV,omega_fm,K_eff,re_pi,im_pi
K,0.15,220,0.32,0.20271687944579572,0.812646573499771,-0.0
pi,0.15,220,0.34,0.2336917393741778,0.9554197987594203,-0.0
K,0.15,220,0.34,0.20271687944579572,0.8142213990755213,-0.0
pi,0.15,220,0.36,0.2336917393741778,0.9567372762558479,-0.0
K,0.15,220,0.36,0.20271687944579572,0.8159805839880319,-0.0
pi,0.15,220,0.38,0.2336917393741778,0.9581502165324214,-0.0
K,0.15,220,0.38,0.20271687944579572,0.8179547093500605,-0.0
pi,0.15,220,0.4,0.2336917393741778,0.9596645797462219,-0.0
K,0.15,220,0.4,0.20271687944579572,0.8201847722904833,-0.0
pi,0.15,220,0.42,0.2336917393741778,0.9612882716764061,-0.0
K,0.15,220,0.42,0.20271687944579572,0.8227274355530301,-0.0
pi,0.15,220,0.44,0.2336917393741778,0.9630323714746613,-0.0
K,0.15,220,0.44,0.20271687944579572,0.8256641041520041,-0.0
pi,0.15,220,0.46,0.2336917393741778,0.9649137311251251,-0.0
K,0.15,220,0.46,0.20271687944579572,0.8291177822337633,-0.0
pi,0.15,220,0.48,0.2336917393741778,0.9669616174035573,-0.0
K,0.15,220,0.48,0.20271687944579572,0.8332874886935966,-0.0
pi,0.15,220,0.5,0.2336917393741778,0.9692413935354737,-0.0
K,0.15,220,0.5,0.20271687944579572,0.8385285563880647,-0.0
pi,0.15,220,0.52,0.2336917393741778,0.9720890319557091,-0.0
K,0.15,220,0.52,0.20271687944579572,0.8455842917098083,-0.0
pi,0.15,220,0.54,0.2336917393741778,0.9746091790026273,0.0012955095988462996
K,0.15,220,0.54,0.20271687944579572,0.8566303820705169,-0.0
pi,0.15,220,0.56,0.2336917393741778,0.976802555784058,0.0020467138685383948
K,0.15,220,0.56,0.20271687944579572,0.8993639973040843,-0.0
pi,0.15,220,0.58,0.2336917393741778,0.9790694603853504,0.002740150395630861
K,0.15,220,0.58,0.20271687944579572,0.8716130319923683,-0.054493136785099115
pi,0.15,220,0.6,0.2336917393741778,0.981409237717688,0.0034338277926849767
K,0.15,220,0.6,0.20271687944579572,0.8579471116211652,-0.057287433294922786
pi,0.15,220,0.62,0.2336917393741778,0.9838212121795182,0.004148561797475154
K,0.15,220,0.62,0.20271687944579572,0.8505519598063556,-0.05985314060366512
pi,0.15,220,0.64,0.2336917393741778,0.9863046876658309,0.004894869304394103
K,0.15,220,0.64,0.20271687944579572,0.8451261391924912,-0.06217958733803618
pi,0.15,220,0.66,0.2336917393741778,0.9888589477531236,0.005679173133904824
K,0.15,220,0.66,0.20271687944579572,0.8406148504660053,-0.06425929233444307
pi,0.15,220,0.68,0.2336917393741778,0.991483255913673,0.00650592756252298
K,0.15,220,0.68,0.20271687944579572,0.8366136210296119,-0.06608761834074608
pi,0.15,220,0.7,0.2336917393741778,0.9941768557401927,0.007378517563849705
K,0.15,220,0.7,0.20271687944579572,0.8329350596230963,-0.06766244618607922
pi,0.15,220,0.72,0.2336917393741778,0.9969389711766035,0.00829969463807512
K,0.15,220,0.72,0.20271687944579572,0.8294838457359412,-0.06898387193288498
pi,0.15,220,0.74,0.2336917393741778,0.9997688067535315,0.009271809347617751
K,0.15,220,0.74,0.20271687944579572,0.8262096597907388,-0.07005392797058457
pi,0.15,220,0.76,0.2336917393741778,1.002665547827903,0.010296944644028742
K,0.15,220,0.76,0.20271687944579572,0.8230862827029738,-0.07087632797883495
pi,0.15,220,0.78,0.2336917393741778,1.0056283608262446,0.01137699672194579
K,0.15,220,0.78,0.20271687944579572,0.8201011986704335,-0.07145623502924829
pi,0.15,220,0.8,0.2336917393741778,1.0086563934913986,0.012513726307619748
K,0.15,220,0.8,0.20271687944579572,0.8172499753153171,-0.07180005169590656
pi,0.15,220,0.82,0.2336917393741778,1.0117487751323768,0.013708792415322978
K,0.15,220,0.82,0.20271687944579572,0.8145330297087344,-0.07191523082541554
pi,0.15,220,0.84,0.2336917393741778,1.014904616877114,0.014963775258668252
K,0.15,220,0.84,0.20271687944579572,0.8119536759775925,-0.07181010551801936
pi,0.15,220,0.86,0.2336917393741778,1.0181230119278726,0.01628019221067095
K,0.15,220,0.86,0.20271687944579572,0.8095169027441965,-0.07149373685098245
pi,0.15,220,0.88,0.2336917393741778,1.0214030358190602,0.017659509171243697
K,0.15,220,0.88,0.20271687944579572,0.8072285865493972,-0.07097577790510863
pi,0.15,220,0.9,0.2336917393741778,1.0247437466772247,0.019103148820081996
K,0.15,220,0.9,0.20271687944579572,0.8050949762517062,-0.07026635271517409
pi,0.15,220,0.92,0.2336917393741778,1.0281441854829843,0.020612496708622436
K,0.15,220,0.92,0.20271687944579572,0.8031223515046725,-0.06937594884179434
pi,0.15,220,0.94,0.2336917393741778,1.0316033763346633,0.02218890582248979
K,0.15,220,0.94,0.20271687944579572,0.8013167961864957,-0.06831532234711793
pi,0.15,220,0.96,0.2336917393741778,1.0351203267133908,0.023833700042097537
K,0.15,220,0.96,0.20271687944579572,0.7996840494843884,-0.06709541404408113
pi,0.15,220,0.98,0.2336917393741778,1.0386940277494336,0.025548176796989376
K,0.15,220,0.98,0.20271687944579572,0.7982294104127318,-0.06572727597531895
pi,0.15,220,1.0,0.2336917393741778,1.042323454489522,0.02733360912196623
K,0.15,220,1.0,0.20271687944579572,0.7969576796298642,-0.0642220071611856
pi,0.15,220,1.02,0.2336917393741778,1.0460075661649408,0.029191247263843947
K,0.15,220,1.02,0.20271687944579572,0.7958731275612775,-0.06259069773563614
pi,0.15,220,1.04,0.2336917393741778,1.0497453064601525,0.031122319946926928
K,0.15,220,1.04,0.20271687944579572,0.7949794811919105,-0.060844380663472836
pi,0.15,220,1.06,0.2336917393741778,1.053535603781719,0.03312803537675093
K,0.15,220,1.06,0.20271687944579572,0.794279924129477,-0.05899399030264098
pi,0.15,220,1.08,0.2336917393741778,1.057377371527294,0.03520958204137752
K,0.15,220,1.08,0.20271687944579572,0.7937771060666088,-0.05705032714099637
pi,0.15,220,1.1,0.2336917393741778,1.0612695083544619,0.03736812935491902
K,0.15,220,1.1,0.20271687944579572,0.7934731588292278,-0.055024028098607354
pi,0.15,220,1.12,0.2336917393741778,1.065210898449193,0.03960482817731893
K,0.15,220,1.12,0.20271687944579572,0.7933697169471153,-0.052925541844581446
pi,0.15,220,1.14,0.2336917393741778,1.0692004117936955,0.04192081123655061
K,0.15,220,1.14,0.20271687944579572,0.7934679412198757,-0.050765108632105115
pi,0.15,220,1.16,0.2336917393741778,1.0732369044334402,0.0443171934735289
K,0.15,220,1.16,0.20271687944579572,0.7937685441425045,-0.04855274420736601
pi,0.15,220,1.18,0.2336917393741778,1.0773192187431444,0.046795072325606285
K,0.15,220,1.18,0.20271687944579572,0.7942718163430595,-0.04629822739790766
pi,0.15,220,1.2,0.2336917393741778,1.081446183691497,0.049355527961162146
K,0.15,220,1.2,0.20271687944579572,0.7949776533998979,-0.04401109103440387
pi,0.15,220,1.22,0.2336917393741778,1.0856166151044042,0.051999623475210026
K,0.15,220,1.22,0.20271687944579572,0.7958855825678678,-0.04170061590768493
pi,0.15,220,1.24,0.2336917393741778,1.0898293159265686,0.054728405053947694
K,0.15,220,1.24,0.20271687944579572,0.7969947890658641,-0.03937582751110534
pi,0.15,220,1.26,0.2336917393741778,1.0940830764811655,0.057542902114618745
K,0.15,220,1.26,0.20271687944579572,0.7983041416723031,-0.03704549536831447
pi,0.15,220,1.28,0.2336917393741778,1.0983766747274364,0.06044412742582612
K,0.15,220,1.28,0.20271687944579572,0.7998122174475851,-0.03471813479993856
pi,0.15,220,1.3,0.2336917393741778,1.102708876515991,0.06343307721247136
K,0.15,220,1.3,0.20271687944579572,0.8015173254586659,-0.03240201104193499
pi,0.15,220,1.32,0.2336917393741778,1.1070784358416181,0.06651073124871942
K,0.15,220,1.32,0.20271687944579572,0.8034175294244122,-0.030105145696780446
pi,0.15,220,1.34,0.2336917393741778,1.111484095093422,0.06967805294177247
K,0.15,220,1.34,0.20271687944579572,0.8055106692342796,-0.027835325580909964
pi,0.15,220,1.36,0.2336917393741778,1.1159245853020832,0.07293598940873573
K,0.15,220,1.36,0.20271687944579572,0.8077943813192704,-0.02560011413485726
pi,0.15,220,1.38,0.2336917393741778,1.1203986263840715,0.07628547154845502
K,0.15,220,1.38,0.20271687944579572,0.8102661178747655,-0.023406865696714706
pi,0.15,220,1.4,0.2336917393741778,1.1249049273826186,0.0797274141098764
K,0.15,220,1.4,0.20271687944579572,0.8129231649510108,-0.02126274312061017
pi,0.15,220,1.42,0.2336917393741778,1.1294421867052775,0.08326271575820829
K,0.15,220,1.42,0.20271687944579572,0.8157626594398407,-0.01917473947465655
pi,0.15,220,1.44,0.2336917393741778,1.134009092357897,0.08689225913994393
K,0.15,220,1.44,0.20271687944579572,0.8187816049965356,-0.017149704916986443
pi,0.15,220,1.46,0.2336917393741778,1.138604322174837,0.09061691094762007
K,0.15,220,1.46,0.20271687944579572,0.821976886944317,-0.015194380389713675
pi,0.15,220,1.48,0.2336917393741778,1.143226544045263,0.09443752198503198
K,0.15,220,1.48,0.20271687944579572,0.8253452862166392,-0.013315440600962056
pi,0.15,220,1.5,0.2336917393741778,1.1478744161353536,0.09835492723350135
K,0.15,220,1.5,0.20271687944579572,0.8288834923999375,-0.011519550082545474
pi,0.15,220,1.52,0.2336917393741778,1.1525465871062688,0.10236994591968496
K,0.15,220,1.52,0.20271687944579572,0.832588115947744,-0.009813438280563193
pi,0.15,220,1.54,0.2336917393741778,1.157241696327722,0.10648338158532242
K,0.15,220,1.54,0.20271687944579572,0.8364556996473076,-0.008204003364384954
pi,0.15,220,1.56,0.2336917393741778,1.161958374087004,0.11069602215924654
K,0.15,220,1.56,0.20271687944579572,0.840482729433738,-0.006698461173151502
pi,0.15,220,1.58,0.2336917393741778,1.1666952417933203,0.11500864003191533
K,0.15,220,1.58,0.20271687944579572,0.8446656446667962,-0.0053045686342974045
pi,0.15,220,1.6,0.2336917393741778,1.1714509121772927,0.11942199213267131
K,0.15,220,1.6,0.20271687944579572,0.8490008480158402,-0.0040309776802187145
pi,0.15,220,1.62,0.2336917393741778,1.1762239894854922,0.12393682000988569
K,0.15,220,1.62,0.20271687944579572,0.8534847151457741,-0.0028878364050497324
pi,0.15,220,1.64,0.2336917393741778,1.1810130696698675,0.12855384991410784
K,0.15,220,1.64,0.20271687944579572,0.8581136044725266,-0.001887911356339718
pi,0.15,220,1.66,0.2336917393741778,1.1858167405719464,0.13327379288430513
K,0.15,220,1.66,0.20271687944579572,0.8628838673806896,-0.001048995047785191
pi,0.15,220,1.68,0.2336917393741778,1.1906335821016296,0.1380973448372486
K,0.15,220,1.68,0.20271687944579572,0.8677918595051589,-0.0004004393642585921
pi,0.15,220,1.7,0.2336917393741778,1.1954621664106242,0.14302518666007916
K,0.15,220,1.7,0.20271687944579572,0.8728339540414894,-1.503068903718019e-5
pi,0.15,220,1.72,0.2336917393741778,1.2003010580601106,0.14805798430606099
K,0.15,220,1.72,0.20271687944579572,0.877740201906693,-0.0
pi,0.15,220,1.74,0.2336917393741778,1.2051488141828162,0.1531963888935172
K,0.15,220,1.74,0.20271687944579572,0.882479842077981,-0.0
pi,0.15,220,1.76,0.2336917393741778,1.2100039846392112,0.15844103680792107
K,0.15,220,1.76,0.20271687944579572,0.8871813918023153,-0.0
pi,0.15,220,1.78,0.2336917393741778,1.2148651121677747,0.1637925498071084
K,0.15,220,1.78,0.20271687944579572,0.891886189331587,-0.0
pi,0.15,220,1.8,0.2336917393741778,1.2197307325292182,0.16925153512955868
K,0.15,220,1.8,0.20271687944579572,0.8966190085647631,-0.0
pi,0.15,220,1.82,0.2336917393741778,1.224599374644565,0.17481858560568747
K,0.15,220,1.82,0.20271687944579572,0.90139774024514,-0.0
pi,0.15,220,1.84,0.2336917393741778,1.2294695607269839,0.18049427977208202
K,0.15,220,1.84,0.20271687944579572,0.9062367699960701,-0.0
pi,0.15,220,1.86,0.2336917393741778,1.2343398064072848,0.18627918198860308
K,0.15,220,1.86,0.20271687944579572,0.9111485554328334,-0.0
pi,0.15,220,1.88,0.2336917393741778,1.2392086208529778,0.19217384255827202
K,0.15,220,1.88,0.20271687944579572,0.9161445078963145,-0.0
pi,0.15,220,1.9,0.2336917393741778,1.2440745068808108,0.19817879784985723
K,0.15,220,1.9,0.20271687944579572,0.921235560634211,-0.0
pi,0.15,220,1.92,0.2336917393741778,1.2489359610626887,0.20429457042306565
K,0.15,220,1.92,0.20271687944579572,0.9264325865180015,-0.0
pi,0.15,220,1.94,0.2336917393741778,1.2537914738248985,0.21052166915624648
K,0.15,220,1.94,0.20271687944579572,0.931746748189412,-0.0
pi,0.15,220,1.96,0.2336917393741778,1.2586395295405461,0.21686058937650568
K,0.15,220,1.96,0.20271687944579572,0.9371898315059328,-0.0
pi,0.15,220,1.98,0.2336917393741778,1.2634786066151318,0.22331181299213296
K,0.15,220,1.98,0.20271687944579572,0.9427746017742649,-0.0
pi,0.15,220,2.0,0.2336917393741778,1.2683071775651706,0.22987580862723667
K,0.15,220,2.0,0.20271687944579572,0.9485152225922189,-0.0
pi,0.15,220,2.02,0.2336917393741778,1.2731237090898015,0.23655303175848202
K,0.15,220,2.02,0.20271687944579572,0.9544277875469781,-0.0
pi,0.15,220,2.04,0.2336917393741778,1.277926662135278,0.24334392485382741
K,0.15,220,2.04,0.20271687944579572,0.9605310387518456,-0.0
pi,0.15,220,2.06,0.2336917393741778,1.2827144919522946,0.25024891751315115
K,0.15,220,2.06,0.20271687944579572,0.9668473928240435,-0.0
pi,0.15,220,2.08,0.2336917393741778,1.2874856481460484,0.2572684266106644
K,0.15,220,2.08,0.20271687944579572,0.9734044868856335,-0.0
pi,0.15,220,2.1,0.2336917393741778,1.2922385747189795,0.2644028564390006
K,0.15,220,2.1,0.20271687944579572,0.980237648395356,-0.0
pi,0.15,220,2.12,0.2336917393741778,1.2969717101061073,0.271652598854876
K,0.15,220,2.12,0.20271687944579572,0.9873941234621416,-0.0
pi,0.15,220,2.14,0.2336917393741778,1.3016834872028928,0.2790180334262134
K,0.15,220,2.14,0.20271687944579572,0.9949409804382071,-0.0
pi,0.15,220,2.16,0.2336917393741778,1.3063723333855495,0.28649952758062774
K,0.15,220,2.16,0.20271687944579572,1.0029817580919986,-0.0
pi,0.15,220,2.18,0.2336917393741778,1.311036670523742,0.2940974367551626
K,0.15,220,2.18,0.20271687944579572,1.01169832644573,-0.0
pi,0.15,220,2.2,0.2336917393741778,1.3156749149855789,0.3018121045471782
K,0.15,220,2.2,0.20271687944579572,1.021493669954577,-0.0
pi,0.15,220,2.22,0.2336917393741778,1.3202854776348478,0.3096438628662872
K,0.15,220,2.22,0.20271687944579572,1.0340851736815504,-0.0
pi,0.15,220,2.24,0.2336917393741778,1.3248667638204021,0.3175930320872351
K,0.15,220,2.24,0.20271687944579572,1.0459194116706447,0.008846635274685544
pi,0.15,220,2.26,0.2336917393741778,1.3294171733576314,0.32565992120362913
K,0.15,220,2.26,0.20271687944579572,1.053244123025758,0.014209884852817966
pi,0.15,220,2.28,0.2336917393741778,1.3339351005019402,0.3338448279824139
K,0.15,220,2.28,0.20271687944579572,1.0606021008580935,0.018796061990029454
pi,0.15,220,2.3,0.2336917393741778,1.33841893391414,0.34214803911899727
K,0.15,220,2.3,0.20271687944579572,1.06799041959555,0.023141889662143506
pi,0.15,220,2.32,0.2336917393741778,1.3428670566177192,0.350569830392936
K,0.15,220,2.32,0.20271687944579572,1.0754061738773257,0.027423032369470364
pi,0.15,220,2.34,0.2336917393741778,1.3472778459478418,0.35911046682408193
K,0.15,220,2.34,0.20271687944579572,1.0828464810472702,0.03172098891089991
pi,0.15,220,2.36,0.2336917393741778,1.351649673492051,0.36777020282910217
K,0.15,220,2.36,0.20271687944579572,1.0903084829352852,0.0360806056778263
pi,0.15,220,2.38,0.2336917393741778,1.3559809050225595,0.37654928237828245
K,0.15,220,2.38,0.20271687944579572,1.0977893470245952,0.04052928009664485
pi,0.15,220,2.4,0.2336917393741778,1.3602699004200463,0.38544793915252734
K,0.15,220,2.4,0.20271687944579572,1.105286267174648,0.04508498813657186
pi,0.15,220,2.42,0.2336917393741778,1.3645150135888637,0.3944663967004706
K,0.15,220,2.42,0.20271687944579572,1.1127964640234873,0.049760153553294814
pi,0.15,220,2.44,0.2336917393741778,1.3687145923635597,0.40360486859561684
K,0.15,220,2.44,0.20271687944579572,1.120317185155885,0.054563708612449184
pi,0.15,220,2.46,0.2336917393741778,1.3728669784066214,0.4128635585934282
K,0.15,220,2.46,0.20271687944579572,1.127845705097668,0.05950227640681065
pi,0.15,220,2.48,0.2336917393741778,1.3769705070973195,0.4222426607882834
K,0.15,220,2.48,0.20271687944579572,1.1353793251791593,0.06458088963819657
pi,0.15,220,2.5,0.2336917393741778,1.3810235074115664,0.43174235977022823
K,0.15,220,2.5,0.20271687944579572,1.1429153732987,0.06980344839965097
pi,0.15,220,2.52,0.2336917393741778,1.3850243017926567,0.44136283078144817
K,0.15,220,2.52,0.20271687944579572,1.1504512036089347,0.07517302311087062
pi,0.15,220,2.54,0.2336917393741778,1.3889712060127832,0.451104239872385
K,0.15,220,2.54,0.20271687944579572,1.157984196142726,0.0806920615369243
pi,0.15,220,2.56,0.2336917393741778,1.3928625290251957,0.46096674405743654
K,0.15,220,2.56,0.20271687944579572,1.165511756391438,0.08636253420027248
pi,0.15,220,2.58,0.2336917393741778,1.3966965728068799,0.47095049147016343
K,0.15,220,2.58,0.20271687944579572,1.1730313148452844,0.09218603897996486
pi,0.15,220,2.6,0.2336917393741778,1.4004716321916182,0.4810556215179445
K,0.15,220,2.6,0.20271687944579572,1.180540326503294,0.09816387794052556
pi,0.15,220,2.62,0.2336917393741778,1.404185994693284,0.4912822650360159
K,0.15,220,2.62,0.20271687944579572,1.1880362703587661,0.1042971148179832
pi,0.15,220,2.64,0.2336917393741778,1.407837940319241,0.5016305444408322
K,0.15,220,2.64,0.20271687944579572,1.1955166488648805,0.1105866187520052
pi,0.15,220,2.66,0.2336917393741778,1.4114257413736209,0.512100573882694
K,0.15,220,2.66,0.20271687944579572,1.202978987384193,0.11703309805676634
pi,0.15,220,2.68,0.2336917393741778,1.41494766225047,0.5226924593975831
K,0.15,220,2.68,0.20271687944579572,1.2104208336250084,0.12363712665736443
pi,0.15,220,2.7,0.2336917393741778,1.4184019592163717,0.5334062990581553
K,0.15,220,2.7,0.20271687944579572,1.2178397570670734,0.1303991650447857
pi,0.15,220,2.72,0.2336917393741778,1.4217868801825562,0.5442421831238349
K,0.15,220,2.72,0.20271687944579572,1.2252333483785838,0.1373195770783584
pi,0.15,220,2.74,0.2336917393741778,1.4251006644661977,0.5552001941899644
K,0.15,220,2.74,0.20271687944579572,1.23259921882614,0.14439864360315754
pi,0.15,220,2.76,0.2336917393741778,1.4283415425407375,0.5662804073359633
K,0.15,220,2.76,0.20271687944579572,1.2399349996790106,0.151636573596408
pi,0.15,220,2.78,0.2336917393741778,1.431507735775007,0.5774828902724467
K,0.15,220,2.78,0.20271687944579572,1.247238341608816,0.15903351337649713
pi,0.15,220,2.8,0.2336917393741778,1.4345974561609305,0.5888077034872636
K,0.15,220,2.8,0.20271687944579572,1.2545069140855685,0.16658955427802438
pi,0.15,220,2.82,0.2336917393741778,1.4376089060295791,0.600254900390414
K,0.15,220,2.82,0.20271687944579572,1.261738404770834,0.17430473910114527
pi,0.15,220,2.84,0.2336917393741778,1.4405402777553193,0.6118245274578061
K,0.15,220,2.84,0.20271687944579572,1.2689305189086546,0.18217906757309105
pi,0.15,220,2.86,0.2336917393741778,1.4433897534478042,0.6235166243738132
K,0.15,220,2.86,0.20271687944579572,1.2760809787147551,0.19021250100712533
pi,0.15,220,2.88,0.2336917393741778,1.446155504631526,0.6353312241726018
K,0.15,220,2.88,0.20271687944579572,1.2831875227644638,0.19840496630449123
pi,0.15,220,2.9,0.2336917393741778,1.4488356919126542,0.6472683533781906
K,0.15,220,2.9,0.20271687944579572,1.2902479053796911,0.2067563594145826
pi,0.15,220,2.92,0.2336917393741778,1.4514284646328455,0.6593280321432123
K,0.15,220,2.92,0.20271687944579572,1.2972598960152448,0.2152665483453244
pi,0.15,220,2.94,0.2336917393741778,1.4539319605097119,0.6715102743863564
K,0.15,220,2.94,0.20271687944579572,1.3042212786446896,0.22393537579765965
pi,0.15,220,2.96,0.2336917393741778,1.4563443052636154,0.6838150879284458
K,0.15,220,2.96,0.20271687944579572,1.3111298511459117,0.23276266148394426
pi,0.15,220,2.98,0.2336917393741778,1.4586636122304335,0.6962424746271472
K,0.15,220,2.98,0.20271687944579572,1.3179834246864999,0.2417482041789527
pi,0.15,220,3.0,0.2336917393741778,1.4608879819599259,0.7087924305102682
K,0.15,220,3.0,0.20271687944579572,1.3247798231090042,0.2508917835433835
pi,0.15,220,3.02,0.2336917393741778,1.4630155017993203,0.7214649459076351
K,0.15,220,3.02,0.20271687944579572,1.331516882316105,0.26019316175274715
pi,0.15,220,3.04,0.2336917393741778,1.4650442454616668,0.7342600055815215
K,0.15,220,3.04,0.20271687944579572,1.3381924496556798,0.26965208495888127
pi,0.15,220,3.06,0.2336917393741778,1.4669722725786503,0.7471775888556106
K,0.15,220,3.06,0.20271687944579572,1.3448043833057355,0.27926828460678615
pi,0.15,220,3.08,0.2336917393741778,1.4687976282372122,0.7602176697424784
K,0.15,220,3.08,0.20271687944579572,1.3513505516591287,0.2890414786257891
pi,0.15,220,3.1,0.2336917393741778,1.4705183424996955,0.7733802170695754
K,0.15,220,3.1,0.20271687944579572,1.357828832707992,0.2989713725110275
pi,0.15,220,3.12,0.2336917393741778,1.4721324299069025,0.7866651946036939
K,0.15,220,3.12,0.20271687944579572,1.3642371134277311,0.3090576603087736
pi,0.15,220,3.14,0.2336917393741778,1.4736378889635724,0.8000725611739145
K,0.15,220,3.14,0.20271687944579572,1.3705732891604667,0.3193000255170804
pi,0.15,220,3.16,0.2336917393741778,1.4750327016057199,0.8136022707930087
K,0.15,220,3.16,0.20271687944579572,1.3768352629977392,0.32969814191155317
pi,0.15,220,3.18,0.2336917393741778,1.4763148326492561,0.8272542727772962
K,0.15,220,3.18,0.20271687944579572,1.383020945162311,0.3402516743046241
pi,0.15,220,3.2,0.2336917393741778,1.47748222921927,0.841028511864948
K,0.15,220,3.2,0.20271687944579572,1.3891282523888466,0.35096027924557205
pi,0.15,220,3.22,0.2336917393741778,1.4785328201593324,0.854924928332718
K,0.15,220,3.22,0.20271687944579572,1.395155107303253,0.3618236056675029
pi,0.15,220,3.24,0.2336917393741778,1.4794645154201462,0.8689434581111133
K,0.15,220,3.24,0.20271687944579572,1.4010994378004469,0.3728412954867138
pi,0.15,220,3.26,0.2336917393741778,1.4802752054268187,0.8830840328979772
K,0.15,220,3.26,0.20271687944579572,1.406959176420279,0.38401298415914253
pi,0.15,220,3.28,0.2336917393741778,1.4809627604240128,0.8973465802705026
K,0.15,220,3.28,0.20271687944579572,1.412732259721352,0.3953383011980167
pi,0.15,220,3.3,0.2336917393741778,1.4815250297981883,0.9117310237956555
K,0.15,220,3.3,0.20271687944579572,1.4184166276524364,0.4068168706563066
pi,0.15,220,3.32,0.2336917393741778,1.4819598413760904,0.9262372831390149
K,0.15,220,3.32,0.20271687944579572,1.4240102229211755,0.418448311577161
pi,0.15,220,3.34,0.2336917393741778,1.482265000698626,0.9408652741720295
K,0.15,220,3.34,0.20271687944579572,1.429510990359765,0.4302322384151217
pi,0.15,220,3.36,0.2336917393741778,1.48243829026919,0.9556149090776848
K,0.15,220,3.36,0.20271687944579572,1.4349168762872564,0.4421682614306021
pi,0.15,220,3.38,0.2336917393741778,1.482477468775477,0.9704860964545908
K,0.15,220,3.38,0.20271687944579572,1.4402258278681406,0.45425598705983894
pi,0.15,220,3.4,0.2336917393741778,1.482380270283765,0.9854787414194821
K,0.15,220,3.4,0.20271687944579572,1.4454357924668335,0.4664950182622729
pi,0.15,220,3.42,0.2336917393741778,1.4821444034046654,1.0005927457081414
K,0.15,220,3.42,0.20271687944579572,1.4505447169976804,0.47888495484713217
pi,0.15,220,3.44,0.2336917393741778,1.4817675504285943,1.0158280077747486
K,0.15,220,3.44,0.20271687944579572,1.4555505472700712,0.4914253937807855
pi,0.15,220,3.46,0.2336917393741778,1.481247366431637,1.0311844228896565
K,0.15,220,3.46,0.20271687944579572,1.460451227328253,0.5041159294762885
pi,0.15,220,3.48,0.2336917393741778,1.4805814783474291,1.0466618832356005
K,0.15,220,3.48,0.20271687944579572,1.4652446987853955,0.5169561540663995
pi,0.15,220,3.5,0.2336917393741778,1.4797674840068449,1.062260278002354
K,0.15,220,3.5,0.20271687944579572,1.4699289001514564,0.5299456576612337
pi,0.3,220,0.3,0.23463039523706145,0.9703144229765548,-0.0
K,0.3,220,0.3,0.20473484675375256,0.8227722570503131,-0.0
pi,0.3,220,0.32,0.23463039523706145,0.9713837806840081,-0.0
K,0.3,220,0.32,0.20473484675375256,0.8239777224606588,-0.0
pi,0.3,220,0.34,0.23463039523706145,0.9725299981945988,-0.0
K,0.3,220,0.34,0.20473484675375256,0.8253126925497607,-0.0
pi,0.3,220,0.36,0.23463039523706145,0.9737548591826429,-0.0
K,0.3,220,0.36,0.20473484675375256,0.8267939541969181,-0.0
pi,0.3,220,0.38,0.23463039523706145,0.9750603786749685,-0.0
K,0.3,220,0.38,0.20473484675375256,0.8284431570987881,-0.0
pi,0.3,220,0.4,0.23463039523706145,0.9764488420975157,-0.0
K,0.3,220,0.4,0.20473484675375256,0.8302888291466146,-0.0
pi,0.3,220,0.42,0.23463039523706145,0.9779228553383998,-0.0
K,0.3,220,0.42,0.20473484675375256,0.8323695718389019,-0.0
pi,0.3,220,0.44,0.23463039523706145,0.9794854100143061,-0.0
K,0.3,220,0.44,0.20473484675375256,0.8347393799566857,-0.0
pi,0.3,220,0.46,0.23463039523706145,0.9811399702243644,-0.0
K,0.3,220,0.46,0.20473484675375256,0.8374770547791835,-0.0
pi,0.3,220,0.48,0.23463039523706145,0.9828905905116976,-0.0
K,0.3,220,0.48,0.20473484675375256,0.8407042243206758,-0.0
pi,0.3,220,0.5,0.23463039523706145,0.9847420806017007,-0.0
K,0.3,220,0.5,0.20473484675375256,0.8446237053943753,-0.0
pi,0.3,220,0.52,0.23463039523706145,0.9867002428969883,-0.0
K,0.3,220,0.52,0.20473484675375256,0.8496148485468739,-0.0
pi,0.3,220,0.54,0.23463039523706145,0.9887722282477085,-0.0
K,0.3,220,0.54,0.20473484675375256,0.856542599236211,-0.0
pi,0.3,220,0.56,0.23463039523706145,0.9909670946043291,-0.0
K,0.3,220,0.56,0.20473484675375256,0.8687065900719264,-0.0
pi,0.3,220,0.58,0.23463039523706145,0.9932967377714271,-0.0
K,0.3,220,0.58,0.20473484675375256,0.907781388345259,-0.04384078171153684
pi,0.3,220,0.6,0.23463039523706145,0.9957775659299036,-0.0
K,0.3,220,0.6,0.20473484675375256,0.8709175239645958,-0.04639509599566166
pi,0.3,220,0.62,0.23463039523706145,0.9984338427137637,-0.0
K,0.3,220,0.62,0.20473484675375256,0.8625505450723151,-0.0487734833276698
pi,0.3,220,0.64,0.23463039523706145,1.0013054453444372,-0.0
K,0.3,220,0.64,0.20473484675375256,0.857353124290819,-0.050962822562218846
pi,0.3,220,0.66,0.23463039523706145,1.0044708201730557,-0.0
K,0.3,220,0.66,0.20473484675375256,0.8533498265352562,-0.05295284977726973
pi,0.3,220,0.68,0.23463039523706145,1.008159066816851,-0.0
K,0.3,220,0.68,0.20473484675375256,0.8499393710920896,-0.054735907321801135
pi,0.3,220,0.7,0.23463039523706145,1.012844590764994,0.0016414086593734604
K,0.3,220,0.7,0.20473484675375256,0.8468714201993107,-0.05630669862986946
pi,0.3,220,0.72,0.23463039523706145,1.0156850917739253,0.0033048177190896934
