channel,xi,T_MeV,re_full,im_full,re_indirect,im_indirect,re_direct,im_direct,k0,gamma,Phi,Phibar
pi,0.0,225,1.081880465725178,9.449085320807763e-16,1.081880465725178,9.449085320807763e-16,0.0,0.0,1.365773122543555,0.5830187406891288,0.7019548052029996,0.7019548052029996
pi,0.0,230,1.0893934360221842,1.0696783768201932e-8,1.0893934360221842,1.0696783768201932e-8,0.0,0.0,1.5035103490592583,0.7108498185850023,0.7158142908427175,0.7158142908427175
pi,0.0,235,1.0973049568891202,8.621510923811683e-9,1.0973049568891202,8.621510923811683e-9,0.0,0.0,1.6353590310429318,0.8419598197238487,0.7286728755856845,0.7286728755856845
pi,0.0,240,1.1055869295721845,7.133040451471579e-9,1.1055869295721845,7.133040451471579e-9,0.0,0.0,1.7621133041716877,0.9768729192870093,0.7406441454632398,0.7406441454632398
pi,0.0,245,1.114191242901195,6.034329478217981e-9,1.114191242901195,6.034329478217981e-9,0.0,0.0,1.8843552732292717,1.115724696544113,0.7518185595696119,0.7518185595696119
pi,0.0,250,1.1230547266930164,5.197627079194967e-9,1.1230547266930164,5.197627079194967e-9,0.0,0.0,2.0025000830128716,1.2584565371473755,0.762271258441743,0.762271258441743
pi,0.0,255,1.1321035439955036,4.541750746060788e-9,1.1321035439955036,4.541750746060788e-9,0.0,0.0,2.1168421518056975,1.4048999351963813,0.772066423152817,0.7720664231528169
pi,0.0,260,1.141257922059755,4.0148525377385695e-9,1.141257922059755,4.0148525377385695e-9,0.0,0.0,2.227594319202165,1.5548232833872646,0.7812600011112386,0.7812600011112386
pi,0.0,265,1.150437122297704,3.5831933477014377e-9,1.150437122297704,3.5831933477014377e-9,0.0,0.0,2.3349185339240623,1.7079639482652436,0.7899015188795482,0.7899015188795482
pi,0.0,270,1.1595641457290518,3.2243573808167053e-9,1.1595641457290518,3.2243573808167053e-9,0.0,0.0,2.438948336027685,1.8640525087228361,0.7980353184050005,0.7980353184050005
pi,0.0,275,1.168569614775127,2.9229098936801666e-9,1.168569614775127,2.9229098936801666e-9,0.0,0.0,2.5398039598419078,2.0228307864583486,0.8057014069603957,0.8057014069603957
pi,0.0,280,1.177394442952906,2.667826807181701e-9,1.177394442952906,2.667826807181701e-9,0.0,0.0,2.637601268512923,2.1840639586652832,0.8129360483890621,0.8129360483890621
pi,0.0,285,1.1859911739596902,2.450896663697127e-9,1.1859911739596902,2.450896663697127e-9,0.0,0.0,2.7324559827574086,2.347547161881554,0.8197721884173094,0.8197721884173094
pi,0.0,290,1.1943241220217569,2.2657549980618814e-9,1.1943241220217569,2.2657549980618814e-9,0.0,0.0,2.8244847113646028,2.513107472740168,0.8262397805402405,0.8262397805402405
pi,0.0,295,1.202368603057515,2.1072891801827413e-9,1.202368603057515,2.1072891801827413e-9,0.0,0.0,2.9138041238272474,2.6806024894088547,0.8323660565819582,0.8323660565819582
pi,0.0,300,1.210109595951907,1.9713119153932576e-9,1.210109595951907,1.9713119153932576e-9,0.0,0.0,3.0005293004796028,2.8499167938439225,0.8381757677957725,0.8381757677957724
K,0.0,100,1.0418557157178046,-0.0,1.0418557157178046,-0.0,0.0,0.0,2.5220452403053817,0.0,0.0037916169047458623,0.0037916169047458575
K,0.0,105,1.0418698304495033,-0.0,1.0418698304495033,-0.0,0.0,0.0,2.5220407755891694,0.0,0.005168151319857163,0.005168151319857163
K,0.0,110,1.0418926898969,-0.0,1.0418926898969,-0.0,0.0,0.0,2.5220322378770588,0.0,0.0069231246922431995,0.0069231246922431995
K,0.0,115,1.0419286817447095,-0.0,1.0419286817447095,-0.0,0.0,0.0,2.522016751513301,0.0,0.009140265820083279,0.009140265820083279
K,0.0,120,1.0419840482125926,-0.0,1.0419840482125926,-0.0,0.0,0.0,2.521989828608911,0.0,0.0119241611615366,0.0119241611615366
K,0.0,125,1.0420676516794105,-0.0,1.0420676516794105,-0.0,0.0,0.0,2.5219445992098737,0.0,0.015408939618933087,0.015408939618933087
K,0.0,130,1.0421921463199169,-0.0,1.0421921463199169,-0.0,0.0,0.0,2.5218706596615235,0.0,0.0197721392383802,0.019772139238380206
K,0.0,135,1.0423758692968934,-0.0,1.0423758692968934,-0.0,0.0,0.0,2.521752279754962,0.0,0.025257850425636424,0.025257850425636424
K,0.0,140,1.042646095920638,-0.0,1.042646095920638,-0.0,0.0,0.0,2.5215654530860947,0.0,0.032217596187105665,0.032217596187105665
K,0.0,145,1.0430451048787182,-0.0,1.0430451048787182,-0.0,0.0,0.0,2.5212726734143343,0.0,0.041188034827790286,0.041188034827790286
K,0.0,150,1.0436426931256548,-0.0,1.0436426931256548,-0.0,0.0,0.0,2.5208127321640026,0.0,0.053053685746513486,0.053053685746513486
K,0.0,155,1.0445658373791673,-0.0,1.0445658373791673,-0.0,0.0,0.0,2.520077941910237,0.0,0.06943627124521826,0.06943627124521824
K,0.0,160,1.0460847168291547,-0.0,1.0460847168291547,-0.0,0.0,0.0,2.5188525350692856,0.0,0.0938250234348868,0.0938250234348868
K,0.0,165,1.0489551622254512,-0.0,1.0489551622254512,-0.0,0.0,0.0,2.516590317704639,0.0,0.13598254673754048,0.13598254673754048
K,0.0,170,1.0562167720032005,-0.0,1.0562167720032005,-0.0,0.0,0.0,2.5115331318956464,0.0,0.23141317287698313,0.23141317287698313
K,0.0,175,1.0690545877034547,-0.0,1.0690545877034547,-0.0,0.0,0.0,2.504875218323615,0.0,0.3570772159944237,0.3570772159944237
K,0.0,180,1.0822206610872802,-0.0,1.0822206610872802,-0.0,0.0,0.0,2.5007833920585965,0.0,0.4360028762798077,0.4360028762798077
K,0.0,185,1.097175623784151,-0.0,1.097175623784151,-0.0,0.0,0.0,2.4996183671473275,0.0,0.4922410571922315,0.4922410571922315
K,0.0,190,1.1155083421462988,-0.0,1.1155083421462988,-0.0,0.0,0.0,2.503242217157629,0.0,0.5368059789366919,0.5368059789366919
K,0.0,195,1.1388510968705379,-0.0,1.1388510968705379,-0.0,0.0,0.0,2.5150246927174695,0.0,0.5739554173808211,0.5739554173808211
K,0.0,200,1.1680391364629101,-0.0,1.1680391364629101,-0.0,0.0,0.0,2.5362132188221125,0.0,0.6053204265570566,0.6053204265570566
K,0.0,205,1.1984703432508872,-0.0,1.1984703432508872,-0.0,0.0,0.0,2.539554324737984,0.0,0.6311483358094248,0.6311483358094248
K,0.0,210,1.220778159730898,-6.261313887191426e-10,1.220778159730898,-6.261313887191426e-10,0.0,0.0,2.575440409866884,0.34801929313347846,0.6522911882693098,0.6522911882693098
K,0.0,215,1.2342486381252806,7.591416069711596e-10,1.2342486381252806,7.591416069711596e-10,0.0,0.0,2.651438510674261,0.5267006607182083,0.6705374366358714,0.6705374366358715
K,0.0,220,1.242576800218448,1.5525351695749818e-10,1.242576800218448,1.5525351695749818e-10,0.0,0.0,2.7025274483305997,0.6512829684592448,0.6869411600437796,0.6869411600437796
K,0.0,225,1.2481052078146826,3.2915787474833976e-11,1.2481052078146826,3.2915787474833976e-11,0.0,0.0,2.7399340417029032,0.7605082886718638,0.7019548052029996,0.7019548052029996
K,0.0,230,1.252007429477466,2.90215156935295e-12,1.252007429477466,2.90215156935295e-12,0.0,0.0,2.769892568903519,0.8660064314774973,0.7158142908427175,0.7158142908427175
K,0.0,235,1.2548958375332189,-5.870041775152091e-12,1.2548958375332189,-5.870041775152091e-12,0.0,0.0,2.7960072193179415,0.9726584645975094,0.7286728755856845,0.7286728755856845
K,0.0,240,1.2571141647348891,-9.332726584428673e-12,1.2571141647348891,-9.332726584428673e-12,0.0,0.0,2.8205650883906372,1.0828676202807321,0.7406441454632398,0.7406441454632398
K,0.0,245,1.2588684888980435,-1.1923767019594027e-11,1.2588684888980435,-1.1923767019594027e-11,0.0,0.0,2.8451384403359854,1.197883155892546,0.7518185595696119,0.7518185595696119
K,0.0,250,1.2602893147359209,-1.4272337176080798e-11,1.2602893147359209,-1.4272337176080798e-11,0.0,0.0,2.8708593858910914,1.3183056807964457,0.762271258441743,0.762271258441743
K,0.0,255,1.261463107729124,-1.553119156794541e-11,1.261463107729124,-1.553119156794541e-11,0.0,0.0,2.8985465010267024,1.4443179972825437,0.772066423152817,0.7720664231528169
K,0.0,260,1.2624493414819926,-1.3745044468446436e-11,1.2624493414819926,-1.3745044468446436e-11,0.0,0.0,2.928765590948382,1.5758157725939808,0.7812600011112386,0.7812600011112386
K,0.0,265,1.263290218606815,-6.456694986641099e-12,1.263290218606815,-6.456694986641099e-12,0.0,0.0,2.9618644721386773,1.7125002592030505,0.7899015188795482,0.7899015188795482
K,0.0,270,1.2640164733416681,8.669400794907969e-12,1.2640164733416681,8.669400794907969e-12,0.0,0.0,2.998001253742661,1.8539541965981565,0.7980353184050005,0.7980353184050005
K,0.0,275,1.2646509766626859,3.313058543221591e-11,1.2646509766626859,3.313058543221591e-11,0.0,0.0,3.0371742506053905,1.999705559497524,0.8057014069603957,0.8057014069603957
K,0.0,280,1.2652110576807472,6.720601190304602e-11,1.2652110576807472,6.720601190304602e-11,0.0,0.0,3.0792549879455406,2.149278113639735,0.8129360483890621,0.8129360483890621
K,0.0,285,1.2657100475660616,1.0993774543626812e-10,1.2657100475660616,1.0993774543626812e-10,0.0,0.0,3.124022321783055,2.302227302109066,0.8197721884173094,0.8197721884173094
K,0.0,290,1.2661583366442957,1.5943711635665248e-10,1.2661583366442957,1.5943711635665248e-10,0.0,0.0,3.1711946744554793,2.45816168673583,0.8262397805402405,0.8262397805402405
K,0.0,295,1.2665641168396236,2.1334158336013084e-10,1.2665641168396236,2.1334158336013084e-10,0.0,0.0,3.2204578847692478,2.616752048042585,0.8323660565819582,0.8323660565819582
K,0.0,300,1.2669339145339742,2.6925782812187573e-10,1.2669339145339742,2.6925782812187573e-10,0.0,0.0,3.271487317334314,2.777731346579851,0.8381757677957725,0.8381757677957724
pi,0.3,100,1.0043767148065081,-1.2191121662810419e-11,1.0043727433491068,-1.2191071300335307e-11,3.971457401386047e-6,-5.0362475111468257e-17,0.6839884415314335,5.549001449814699e-10,0.0033206799278814748,0.0033206799278814717
pi,0.3,105,1.0043799938226017,-0.0,1.0043730309037617,-0.0,6.962918839947818e-6,0.0,0.6839995974336602,0.0,0.0045235719383011855,0.004523571938301185
pi,0.3,110,1.0043855222294449,-0.0,1.0043737578094423,-0.0,1.1764420002613463e-5,0.0,0.6840177002666353,0.0,0.006054909017981334,0.006054909017981335
pi,0.3,115,1.0043945534202385,-0.0,1.0043752986848122,-0.0,1.925473542629952e-5,0.0,0.6840462489291007,0.0,0.007985718122164047,0.007985718122164047
pi,0.3,120,1.0044089200821855,-0.0,1.0043782535419388,-0.0,3.066654024674875e-5,0.0,0.6840902109092301,0.0,0.010403748567227051,0.010403748567227051
pi,0.3,125,1.0044312786097074,-0.0,1.0043835556753489,-0.0,4.7722934358507274e-5,0.0,0.6841566077751867,0.0,0.013420018971399656,0.013420018971399656
