method,xi,T_MeV,rho,muq_MeV,rho_level,sampling_role
independent_oracle,0.0,5.0,1.6625,348.382501,0,coarse_grid
independent_oracle,0.0,5.0,1.665625,348.334978,1,fine_grid
independent_oracle,0.0,5.0,1.66875,348.287936,0,coarse_grid
independent_oracle,0.0,5.0,1.671875,348.24138,1,fine_grid
independent_oracle,0.0,5.0,1.675,348.195313,0,coarse_grid
independent_oracle,0.0,5.0,1.678125,348.149742,1,fine_grid
independent_oracle,0.0,5.0,1.68125,348.104671,0,coarse_grid
independent_oracle,0.0,5.0,1.684375,348.060104,1,fine_grid
independent_oracle,0.0,5.0,1.6875,348.016047,0,coarse_grid
independent_oracle,0.0,5.0,1.690625,347.972504,1,fine_grid
independent_oracle,0.0,5.0,1.69375,347.929481,0,coarse_grid
independent_oracle,0.0,5.0,1.696875,347.886981,1,fine_grid
independent_oracle,0.0,5.0,1.7,347.84501,0,coarse_grid
independent_oracle,0.0,5.0,1.703125,347.803574,1,fine_grid
independent_oracle,0.0,5.0,1.70625,347.762676,0,coarse_grid
independent_oracle,0.0,5.0,1.709375,347.722322,1,fine_grid
independent_oracle,0.0,5.0,1.7125,347.682518,0,coarse_grid
independent_oracle,0.0,5.0,1.715625,347.643267,1,fine_grid
independent_oracle,0.0,5.0,1.71875,347.604574,0,coarse_grid
independent_oracle,0.0,5.0,1.721875,347.566446,1,fine_grid
independent_oracle,0.0,5.0,1.725,347.528887,0,coarse_grid
independent_oracle,0.0,5.0,1.728125,347.491902,1,fine_grid
independent_oracle,0.0,5.0,1.73125,347.455497,0,coarse_grid
independent_oracle,0.0,5.0,1.734375,347.419675,1,fine_grid
independent_oracle,0.0,5.0,1.7375,347.384443,0,coarse_grid
independent_oracle,0.0,5.0,1.740625,347.349806,1,fine_grid
independent_oracle,0.0,5.0,1.74375,347.315768,0,coarse_grid
independent_oracle,0.0,5.0,1.746875,347.282336,1,fine_grid
independent_oracle,0.0,5.0,1.75,347.249513,0,coarse_grid
independent_oracle,0.0,5.0,1.753125,347.217305,1,fine_grid
independent_oracle,0.0,5.0,1.75625,347.185718,0,coarse_grid
independent_oracle,0.0,5.0,1.759375,347.154756,1,fine_grid
independent_oracle,0.0,5.0,1.7625,347.124424,0,coarse_grid
independent_oracle,0.0,5.0,1.765625,347.094729,1,fine_grid
independent_oracle,0.0,5.0,1.76875,347.065675,0,coarse_grid
independent_oracle,0.0,5.0,1.771875,347.037266,1,fine_grid
independent_oracle,0.0,5.0,1.775,347.00951,0,coarse_grid
