window_id,mode_key,plot_panel,plot_series,observable,anchor_left_xi,anchor_right_xi,interior_point_count,source_roughness,candidate_roughness,roughness_ratio,changed_point_count,max_abs_relative_change,action,reason,canonical_data_modified
mode_a_muB450p0_alpha1p1_xip0p35_window,mode_a,muB450.0,alpha1.1,zeta,0.3300000000,0.3700000000,3,1.3318345313617073,0.920250556642253,0.6909646318460908,3,0.002096533634614794,applied,roughness_guard_passed,False
mode_a_muB450p0_alpha1p0_xim0p20_window,mode_a,muB450.0,alpha1.0,eta_over_s,-0.2200000000,-0.1800000000,3,3.572225945494302,1.7779349292523987,0.4977106589505999,3,0.010540472524572264,applied,roughness_guard_passed,False
mode_a_muB450p0_alpha1p0_xim0p20_window,mode_a,muB450.0,alpha1.0,zeta_over_s,-0.2200000000,-0.1800000000,3,4.152848144639718,1.8837650611918741,0.4536079807356648,3,0.010548190478160628,applied,roughness_guard_passed,False
mode_a_muB450p0_alpha1p0_xim0p20_window,mode_a,muB450.0,alpha1.0,sigma_over_T,-0.2200000000,-0.1800000000,3,4.2825542257080205,2.290864274605384,0.5349294261946311,3,0.0129698390214816,applied,roughness_guard_passed,False
mode_a_muB450p0_alpha1p0_xim0p20_window,mode_a,muB450.0,alpha1.0,tau_u,-0.2200000000,-0.1800000000,3,4.4912389621259,2.3761268593926226,0.5290582129853758,3,0.013399775265521049,applied,roughness_guard_passed,False
mode_a_muB450p0_alpha1p0_xim0p20_window,mode_a,muB450.0,alpha1.0,tau_d,-0.2200000000,-0.1800000000,3,4.4912389621259,2.3761268593926226,0.5290582129853758,3,0.013399775265521049,applied,roughness_guard_passed,False
mode_a_muB450p0_alpha1p0_xim0p20_window,mode_a,muB450.0,alpha1.0,tau_s,-0.2200000000,-0.1800000000,3,0.7692799578914218,0.28619688272445387,0.3720321578491565,3,0.0025848674074171857,applied,roughness_guard_passed,False
mode_a_muB450p0_alpha1p0_xim0p20_window,mode_a,muB450.0,alpha1.0,tau_ubar,-0.2200000000,-0.1800000000,3,8.42456663220473,3.886100044289422,0.4612818930571411,3,0.023604272350608146,applied,roughness_guard_passed,False
mode_a_muB450p0_alpha1p0_xim0p20_window,mode_a,muB450.0,alpha1.0,tau_dbar,-0.2200000000,-0.1800000000,3,8.42456663220473,3.886100044289422,0.4612818930571411,3,0.023604272350608146,applied,roughness_guard_passed,False
mode_a_muB450p0_alpha1p0_xim0p20_window,mode_a,muB450.0,alpha1.0,tau_sbar,-0.2200000000,-0.1800000000,3,1.9603183919034297,0.7137825678726943,0.3641156308183314,3,0.0068276248290721105,applied,roughness_guard_passed,False
mode_a_muB450p0_alpha1p0_xim0p20_window,mode_a,muB450.0,alpha1.0,eta,-0.2200000000,-0.1800000000,3,3.52229470242098,1.7932175641109476,0.5091049204027178,3,0.010554572059800432,applied,roughness_guard_passed,False
mode_a_muB450p0_alpha1p0_xim0p20_window,mode_a,muB450.0,alpha1.0,sigma,-0.2200000000,-0.1800000000,3,4.2825542257080205,2.29086427460534,0.5349294261946208,3,0.0129698390214817,applied,roughness_guard_passed,False
mode_a_muB450p0_alpha1p0_xim0p20_window,mode_a,muB450.0,alpha1.0,zeta,-0.2200000000,-0.1800000000,3,4.081740491297781,1.8685301305094049,0.457777787317221,3,0.010562290121072614,applied,roughness_guard_passed,False
mode_a_muB0p0_alpha1p2_xim0p47_window,mode_a,muB0.0,alpha1.2,tau_s,-0.4900000000,-0.4500000000,3,0.1393513178270021,0.08195145749359528,0.5880924470002791,3,0.00021335879943745458,applied,roughness_guard_passed,False
mode_a_muB0p0_alpha1p2_xim0p47_window,mode_a,muB0.0,alpha1.2,tau_sbar,-0.4900000000,-0.4500000000,3,0.1393513178239157,0.08195145749530502,0.5880924470255737,3,0.0002133587994639978,applied,roughness_guard_passed,False
