xi,last_crossover_mu_MeV,cep_mu_MeV,last_crossover_T_MeV,cep_T_midpoint_MeV,delta_mu_MeV,delta_T_MeV,closure_status
0.125,303.6403038252052,307.1884846886959,128.43590947955872,126.25,3.5481808634906997,-2.185909479558717,added_boundary_constrained_display_endpoint
0.13125,304.18429621345,307.8488691498111,128.3344304062151,126.03125,3.6645729363610826,-2.303180406215091,added_boundary_constrained_display_endpoint
0.1375,304.79613790197857,308.600070955756,128.18868858709033,125.78125,3.8039330537774276,-2.4074385870903257,added_boundary_constrained_display_endpoint
0.14375,305.40372231503625,309.3459442306198,128.04195761425268,125.53125,3.942221915583559,-2.5107076142526807,added_boundary_constrained_display_endpoint
0.15,306.007085282863,310.08653387191225,127.89621579512792,125.28125,4.079448589049264,-2.6149657951279153,added_boundary_constrained_display_endpoint
0.15625,306.007085282863,310.86541786924164,128.11721689518217,125.0,4.858332586378651,-3.1172168951821675,added_boundary_constrained_display_endpoint
0.1625,307.27048899073515,311.644301866571,127.5584777356867,124.71875,4.373812875835881,-2.8397277356866937,added_boundary_constrained_display_endpoint
0.16875,307.27048899073515,312.3661116626584,127.77853096902284,124.46875,5.095622671923252,-3.309780969022839,added_boundary_constrained_display_endpoint
0.175,308.44728317638373,313.08792145874577,127.26649241383024,124.21875,4.640638282362033,-3.0477424138302354,added_boundary_constrained_display_endpoint
0.18125,308.44728317638373,313.84439939690026,127.4850122422717,123.9375,5.397116220516523,-3.5475122422716936,added_boundary_constrained_display_endpoint
0.1875,309.67510761716113,314.60087733505475,126.93445765352176,123.65625,4.9257697178936155,-3.2782076535217612,added_boundary_constrained_display_endpoint
0.19375,309.67510761716113,315.30197906852175,127.15245213712083,123.40625,5.626871451360614,-3.7462021371208323,added_boundary_constrained_display_endpoint
0.2,310.8189242991599,316.00308080198874,126.6492278056377,123.15625,5.184156502828841,-3.4929778056376932,added_boundary_constrained_display_endpoint
0.20625,310.8189242991599,316.73242087756483,126.86562836915272,122.875,5.913496578404931,-3.9906283691527165,added_boundary_constrained_display_endpoint
0.2125,310.8189242991599,317.461760953141,127.08202893266774,122.59375,6.642836653981078,-4.48827893266774,added_boundary_constrained_display_endpoint
0.21875,310.8189242991599,318.19110102871707,127.29842949618278,122.3125,7.372176729557168,-4.985929496182777,added_boundary_constrained_display_endpoint
0.225,313.1885363481739,318.9204411042932,125.99698635953797,122.03125,5.73190475611932,-3.9657363595379707,added_boundary_constrained_display_endpoint
0.23125,313.1885363481739,319.64901875511504,126.07109630208478,121.734375,6.460482406941139,-4.336721302084783,added_boundary_constrained_display_endpoint
0.2375,313.1885363481739,320.37759640593686,126.14520624463158,121.4375,7.189060057762958,-4.707706244631581,added_boundary_constrained_display_endpoint
0.24375,313.1885363481739,321.1061740567587,126.21931618717838,121.140625,7.917637708584778,-5.078691187178379,added_boundary_constrained_display_endpoint
0.25,321.7314134372287,321.8347517075805,120.88825137410446,120.84375,0.10333827035179866,-0.044501374104456204,added_boundary_constrained_display_endpoint
0.25625,321.7314134372287,322.5262984898018,121.12509538298924,120.5625,0.7948850525730791,-0.5625953829892438,added_boundary_constrained_display_endpoint
0.2625,322.8661454281654,323.21784527202306,120.51342987879025,120.28125,0.3516998438576593,-0.23217987879024804,added_boundary_constrained_display_endpoint
0.26875,322.8661454281654,323.93925134807813,120.75677787258282,119.96875,1.0731059199127344,-0.7880278725828163,added_boundary_constrained_display_endpoint
0.275,324.0424554538131,324.66065742413326,120.11002327567981,119.65625,0.6182019703201718,-0.45377327567980785,added_boundary_constrained_display_endpoint
0.28125,324.0424554538131,325.3313134786714,120.3487595946886,119.375,1.288858024858314,-0.9737595946886017,added_boundary_constrained_display_endpoint
0.2875,325.0911559932932,326.0019695332096,119.77888518981126,119.09375,0.9108135399163757,-0.6851351898112625,added_boundary_constrained_display_endpoint
0.29375,325.0911559932932,326.70150491566676,120.02042109378252,118.78125,1.6103489223735323,-1.2391710937825167,added_boundary_constrained_display_endpoint
0.3,326.2835538876109,327.40104029812386,119.33476875969306,118.46875,1.1174864105129814,-0.8660187596930626,added_boundary_constrained_display_endpoint
0.30625,326.847924739281,328.09229904805244,119.12835926754535,118.15625,1.2443743087714552,-0.9721092675453491,added_boundary_constrained_display_endpoint
