xi,mu_MeV,T_crossover_MeV,rho,method,converged,derivative,variable,curve_parameter,plot_order_key
0.25,278.9260329830999,145.42191165176905,2.081062124817144,peak,true,21.435628721850758,phi_u,278.9260329830999,278.9260329830999
0.25,300.38188167410755,134.63406996628342,1.9367543012096595,peak,true,36.820368827426854,phi_u,300.38188167410755,300.38188167410755
0.25,321.83773036511525,120.8126064274949,1.8390793751535024,peak,true,1212.633525169679,phi_u,321.83773036511525,321.83773036511525
0.3,0.0,208.31271618274292,0.0,peak,true,7.983476962635941,phi_u,0.0,0.0
0.3,21.827566599241543,207.96136034625198,0.3891804100318986,peak,true,7.991110807239151,phi_u,21.827566599241543,21.827566599241543
0.3,43.655133198483085,206.91730881670495,0.7696242939165273,peak,true,8.015160464301168,phi_u,43.655133198483085,43.655133198483085
0.3,65.48269979772464,205.16840694713883,1.1325914952642546,peak,true,8.05925968655403,phi_u,65.48269979772464,65.48269979772464
0.3,87.31026639696617,202.6915276696898,1.4689315437024646,peak,true,8.13016079157587,phi_u,87.31026639696617,87.31026639696617
0.3,109.13783299620772,199.47046478840738,1.7697223805573494,peak,true,8.239018753589159,phi_u,109.13783299620772,109.13783299620772
0.3,130.96539959544927,195.4677979214274,2.025161577791173,peak,true,8.403798400313871,phi_u,130.96539959544927,130.96539959544927
0.3,152.79296619469082,190.64728891294797,2.225312262457751,peak,true,8.653800900604848,phi_u,152.79296619469082,152.79296619469082
0.3,174.62053279393234,184.97056094012987,2.359955599216664,peak,true,9.038445215470341,phi_u,174.62053279393234,174.62053279393234
0.3,196.4480993931739,178.40115006208438,2.4185571519607088,peak,true,9.64484708955134,phi_u,196.4480993931739,196.4480993931739
0.3,218.27566599241544,170.96646068074963,2.3963345857334053,peak,true,10.633123928881199,phi_u,218.27566599241544,218.27566599241544
0.3,240.10323259165696,162.79664723453197,2.3042629827539427,peak,true,12.303142651640908,phi_u,240.10323259165696,240.10323259165696
0.3,261.93079919089854,154.0754907396521,2.182868259013708,peak,true,15.226407108588543,phi_u,261.93079919089854,261.93079919089854
0.3,283.7583657901401,144.537448544248,2.0583967851134726,peak,true,20.75764387073204,phi_u,283.7583657901401,283.7583657901401
0.3,305.58593238938164,133.23643695036444,1.9078032971926935,peak,true,35.0950846684413,phi_u,305.58593238938164,305.58593238938164
0.3,327.4134989886232,118.42451052941045,1.618722964929444,peak,true,922.3186133969162,phi_u,327.4134989886232,327.4134989886232
0.35,0.0,209.5314891895603,0.0,peak,true,7.774283169820334,phi_u,0.0,0.0
0.35,22.190658493594825,209.17203025509403,0.3952257500957929,peak,true,7.781225884153842,phi_u,22.190658493594825,22.190658493594825
0.35,44.38131698718965,208.09866144165827,0.7814453911329207,peak,true,7.803167287474837,phi_u,44.38131698718965,44.38131698718965
0.35,66.57197548078447,206.29731522033956,1.1495555443293228,peak,true,7.843634860679931,phi_u,66.57197548078447,66.57197548078447
0.35,88.7626339743793,203.7436822972121,1.4900322778080926,peak,true,7.9091946445145265,phi_u,88.7626339743793,88.7626339743793
0.35,110.95329246797412,200.42465158433785,1.7938025948832084,peak,true,8.010718486619094,phi_u,110.95329246797412,110.95329246797412
0.35,133.14395096156895,196.2927867199269,2.0503202868332515,peak,true,8.165780893855148,phi_u,133.14395096156895,133.14395096156895
0.35,155.33460945516376,191.31376243012778,2.2494457355869297,peak,true,8.403188998984637,phi_u,155.33460945516376,155.33460945516376
0.35,177.5252679487586,185.44109879412605,2.380116960758438,peak,true,8.771849260802844,phi_u,177.5252679487586,177.5252679487586
0.35,199.7159264423534,178.63641898908247,2.431244134062367,peak,true,9.358624437868741,phi_u,199.7159264423534,199.7159264423534
0.35,221.90658493594825,170.92403230892282,2.3970946772482056,peak,true,10.323928272238653,phi_u,221.90658493594825,221.90658493594825
0.35,244.09724342954308,162.4634104759421,2.2912920744140743,peak,true,11.964877998016414,phi_u,244.09724342954308,244.09724342954308
0.35,266.2879019231379,153.48076287818782,2.162868523733454,peak,true,14.82296308619517,phi_u,266.2879019231379,266.2879019231379
0.35,288.4785604167327,143.62569012014433,2.0362235502418193,peak,true,20.119661791928703,phi_u,288.4785604167327,288.4785604167327
0.35,310.6692189103275,131.77738702658615,1.8786683083263929,peak,true,33.405308573835946,phi_u,310.6692189103275,310.6692189103275
0.35,332.8598774039224,115.87039938579544,1.7355364092293104,peak,true,1716.7756036063452,phi_u,332.8598774039224,332.8598774039224
