center_xi,scenario,sigma_grid_n,adaptive_refinement,species,xi,process,apply_s_cut_requested,apply_s_cut_effective,disabled_by_scenario,sigma_cutoff,cache_n_points,cache_s_min,cache_s_max,cache_sigma_min,cache_sigma_max,cache_sigma_mean,s_peak,s_peak_minus_bo,cache_asym_enabled,cache_asym_s0,cache_asym_A,s_bo,s_up,rate
0.06,baseline,256,true,u,0.06,dubar_to_dubar,true,true,false,3.0522942112582996,256,5.3463265017717045,42.246450194910885,0.030526998462734,0.3713084368683927,0.2722414332576989,11.046380758650132,5.700054292543596,false,0.0,0.0,5.346326466106536,42.612326274430224,0.29667426417480863
0.06,baseline,256,true,u,0.06,uubar_to_ssbar,true,true,false,3.0522942112582996,256,22.49074516637564,42.246450194910885,0.0015760935502359863,0.10695238748529849,0.057122991570570006,42.246450194910885,19.757750485307515,false,0.0,0.0,22.48869970960337,42.612326274430224,0.034220797529814335
0.06,baseline,256,true,u,0.06,us_to_us,true,true,false,3.0522942112582996,256,12.441288537557085,50.45530157882119,0.11705069220584924,0.2839556871262147,0.1945659422310143,13.26454635123028,0.8232737232914022,false,0.0,0.0,12.441272627938877,50.822128781293436,0.2006731647526618
0.06,baseline,256,true,u,0.06,ssbar_to_ssbar,true,true,false,3.0522942112582996,256,22.488699745268537,59.38882343840773,0.16758250993083174,0.4250228955020524,0.335812320087106,28.37899980274376,5.8903000931403895,false,0.0,0.0,22.48869970960337,59.754699517927065,0.26386879449181583
0.06,baseline,256,true,u,0.06,uubar_to_ddbar,true,true,false,3.0522942112582996,256,5.3463265017717045,42.246450194910885,0.1418854734509225,0.82891161518118,0.21063855535085343,5.3463265017717045,3.5665168596210606e-8,false,0.0,0.0,5.346326466106536,42.612326274430224,0.24593015031139245
0.06,baseline,256,true,u,0.06,sbarsbar_to_sbarsbar,true,true,false,3.0522942112582996,256,22.488699745268537,59.38882343840773,0.07048505252160377,0.11724977488605574,0.07944200014209615,59.38882343840773,36.90012372880436,false,0.0,0.0,22.48869970960337,59.754699517927065,0.08051344796629377
0.06,baseline,256,true,u,0.06,usbar_to_usbar,true,true,false,3.0522942112582996,256,12.441288537557085,50.45530157882119,0.02657507423069239,0.38446740676385954,0.26992580905722763,18.307991846295153,5.866719218356275,false,0.0,0.0,12.441272627938877,50.822128781293436,0.23353850410615204
0.06,baseline,256,true,u,0.06,uu_to_uu,true,true,false,3.0522942112582996,256,5.3463265017717045,42.246450194910885,0.09939424260360498,0.1348780259607434,0.11725462423314481,42.246450194910885,36.900123728804346,false,0.0,0.0,5.346326466106536,42.612326274430224,0.157833767393597
0.06,baseline,256,true,u,0.08,ubardbar_to_ubardbar,true,true,false,3.0522942112582996,256,5.3463265017717045,42.246450194910885,0.056808878274598976,0.17499056526815288,0.1600816609342936,8.71298236558696,3.366655899480424,false,0.0,0.0,5.346326466106536,42.612326274430224,0.20645896812131043
0.06,baseline,256,true,u,0.08,uubar_to_uubar,true,true,false,3.0522942112582996,256,5.3463265017717045,42.246450194910885,0.1735570791960137,2.0082826874375233,0.3956245008508466,5.3463265017717045,3.5665168596210606e-8,false,0.0,0.0,5.346326466106536,42.612326274430224,0.4486317609431408
0.06,baseline,256,true,u,0.08,ud_to_ud,true,true,false,3.0522942112582996,256,5.3463265017717045,42.246450194910885,0.056808878274598976,0.17499056526815288,0.1600816609342936,8.71298236558696,3.366655899480424,false,0.0,0.0,5.346326466106536,42.612326274430224,0.20645896812131043
0.06,baseline,256,true,u,0.08,ss_to_ss,true,true,false,3.0522942112582996,256,22.488699745268537,59.38882343840773,0.07053096362133247,0.11723358172006468,0.07945751917220384,59.38882343840773,36.90012372880436,false,0.0,0.0,22.48869970960337,59.754699517927065,0.08063753312089417
0.06,baseline,256,true,u,0.08,udbar_to_udbar,true,true,false,3.0522942112582996,256,5.3463265017717045,42.246450194910885,0.030510861373498347,0.37125714276562827,0.27221856112007975,11.03823434616252,5.691907880055984,false,0.0,0.0,5.346326466106536,42.612326274430224,0.2972526416799301
0.06,baseline,256,true,u,0.08,subar_to_subar,true,true,false,3.0522942112582996,256,12.441288537557085,50.45530157882119,0.026565792533192138,0.38442090218469444,0.26994005401531396,18.300414387563208,5.859141759624331,false,0.0,0.0,12.441272627938877,50.822128781293436,0.2341167006198794
0.06,baseline,256,true,u,0.08,ssbar_to_uubar,true,true,false,3.0522942112582996,256,22.488699745268537,42.608857442901815,0.19975756481060122,3168.869762595409,12.649814374255454,22.488699745268537,3.5665166819853766e-8,false,0.0,0.0,22.48869970960337,42.612326274430224,1.6396768699899131
0.06,baseline,256,true,u,0.08,ubarubar_to_ubarubar,true,true,false,3.0522942112582996,256,5.3463265017717045,42.246450194910885,0.099639231554614,0.13478789607998082,0.11739932872252341,42.246450194910885,36.900123728804346,false,0.0,0.0,5.346326466106536,42.612326274430224,0.15811649830760852
