# y_unit.M_K: fm^-1
# y_unit.Gamma_pi: fm^-1
# y_unit.m_u: fm^-1
# y_unit.M_pi: fm^-1
# y_unit.Gamma_K: fm^-1
# script: scripts/relaxtime/run_mott_phase_scan.jl
# y_unit.m_d: fm^-1
# format: scan_csv_v1
# x_unit: MeV
# y_unit.m_s: fm^-1
# x_label: Temperature
# y_unit.M_u_plus_M_d: fm^-1
# y_unit.M_u_plus_M_s: fm^-1
run_id,T_MeV,muB_MeV,xi,M_pi,M_K,Gamma_pi,Gamma_K,residual_pi,residual_K,root_quality_pi,root_quality_K,selected_method_pi,selected_method_K,m_u,m_d,m_s,status,error_code,error_message,timestamp_utc,M_u_plus_M_d,M_u_plus_M_s
20260328T063557_884e94d3,223.0,0.0,0.15,1.1859310878188432,2.6839177783246155,0.4206895985779039,0.613518394834176,8.01430221181581e-16,2.351481727572336e-10,good,good,newton,newton,0.22447553162202669,0.2244755316220266,1.9331106397155533,ok,,,2026-03-28T06:36:50Z,0.4489510632440533,2.15758617133758
20260328T063557_884e94d3,224.0,0.0,0.15,1.2145959451577952,2.6934896319306563,0.4456457978319127,0.637372175362087,5.650084974195939e-16,1.764201255611567e-10,good,good,newton,newton,0.21427891399657695,0.21427891399657717,1.9230059224767195,ok,,,2026-03-28T06:36:50Z,0.4285578279931541,2.1372848364732966
20260328T063557_884e94d3,225.0,0.0,0.15,1.2430101247206486,2.702496273545299,0.47044742849012305,0.660509309350484,5.094350496844628e-16,1.3291333425576066e-10,good,good,newton,newton,0.2048971691160013,0.20489716911600142,1.912895928705695,ok,,,2026-03-28T06:36:50Z,0.40979433823200273,2.1177930978216963
20260328T063557_884e94d3,226.0,0.0,0.15,1.271172321367599,2.710998154191057,0.4951536528516178,0.6830718036284678,4.618236967967968e-16,1.0050879913516566e-10,good,good,newton,newton,0.19624323190008255,0.1962432319000826,1.9027679924434742,ok,,,2026-03-28T06:36:51Z,0.39248646380016516,2.0990112243435566
20260328T063557_884e94d3,227.0,0.0,0.15,1.2990834887509846,2.7190495026603503,0.5198110789911652,0.7051756974185869,3.1270041751178145e-16,7.621137645938665e-11,good,good,newton,newton,0.18824096219834024,0.18824096219834008,1.892611954464563,ok,,,2026-03-28T06:36:51Z,0.3764819243966803,2.080852916662903
20260328T063557_884e94d3,228.0,0.0,0.15,1.3267461865287027,2.726698951125969,0.5444568044445003,0.7269168213462939,3.3306690738754696e-16,5.786084256868486e-11,good,good,newton,newton,0.18082370773505024,0.18082370773505047,1.8824197208103717,ok,,,2026-03-28T06:36:51Z,0.3616474154701007,2.0632434285454218
20260328T063557_884e94d3,229.0,0.0,0.15,1.3541640959266685,2.7339901465204637,0.5691206156419345,0.7483750656105218,2.3391831105310926e-16,4.91213736353302e-11,good,good,newton,newton,0.17393302844864134,0.1739330284486414,1.8721849059419535,ok,,,2026-03-28T06:36:51Z,0.3478660568972827,2.046117934390595
20260328T063557_884e94d3,230.0,0.0,0.15,1.3813416600458674,2.7409623222500645,0.5938266068339679,0.7696175954166954,2.3361150946022177e-16,4.281530685545931e-11,good,good,newton,newton,0.16751758158780464,0.16751758158780475,1.8619025446888666,ok,,,2026-03-28T06:36:52Z,0.3350351631756094,2.0294201262766713
20260328T063557_884e94d3,231.0,0.0,0.15,1.408283844243386,2.747650818544376,0.6185943356413545,0.7907013076472388,9.995870211744771e-9,3.751310373445449e-11,good,good,newton,newton,0.16153215679715197,0.16153215679715202,1.8515688595960968,ok,,,2026-03-28T06:36:52Z,0.323064313594304,2.013101016393249
20260328T063557_884e94d3,232.0,0.0,0.15,1.434995824949169,2.754087547868181,0.6434399618209662,0.8116747310335104,9.556724405985089e-9,3.301692252932753e-11,good,good,newton,newton,0.15593684601094138,0.15593684601094115,1.841181072635165,ok,,,2026-03-28T06:36:52Z,0.31187369202188253,1.9971179186461063
