target_id,xi,T_MeV,method,rho,muq_MeV,source_curve_sha256
xi_0p00_T51,0,51,production_hybrid,1.03125,359.71041,d66ba215cbcb7a775f462e622aa90a075b820843a00368923a7d27e9c482c9fd
xi_0p00_T51,0,51,production_hybrid,1.0375,359.566771,d66ba215cbcb7a775f462e622aa90a075b820843a00368923a7d27e9c482c9fd
xi_0p00_T51,0,51,production_hybrid,1.04375,359.422837,d66ba215cbcb7a775f462e622aa90a075b820843a00368923a7d27e9c482c9fd
xi_0p00_T51,0,51,production_hybrid,1.05,359.278622,d66ba215cbcb7a775f462e622aa90a075b820843a00368923a7d27e9c482c9fd
xi_0p00_T51,0,51,production_hybrid,1.05625,359.134137,d66ba215cbcb7a775f462e622aa90a075b820843a00368923a7d27e9c482c9fd
xi_0p00_T51,0,51,production_hybrid,1.0625,358.989395,d66ba215cbcb7a775f462e622aa90a075b820843a00368923a7d27e9c482c9fd
xi_0p00_T51,0,51,production_hybrid,1.06875,358.844409,d66ba215cbcb7a775f462e622aa90a075b820843a00368923a7d27e9c482c9fd
xi_0p00_T51,0,51,production_hybrid,1.071875,358.771829,d66ba215cbcb7a775f462e622aa90a075b820843a00368923a7d27e9c482c9fd
xi_0p00_T51,0,51,production_hybrid,1.075,358.699192,d66ba215cbcb7a775f462e622aa90a075b820843a00368923a7d27e9c482c9fd
xi_0p00_T51,0,51,production_hybrid,1.08125,358.553755,d66ba215cbcb7a775f462e622aa90a075b820843a00368923a7d27e9c482c9fd
xi_0p00_T51,0,51,production_hybrid,1.0875,358.408111,d66ba215cbcb7a775f462e622aa90a075b820843a00368923a7d27e9c482c9fd
xi_0p00_T51,0,51,production_hybrid,1.09375,358.262272,d66ba215cbcb7a775f462e622aa90a075b820843a00368923a7d27e9c482c9fd
xi_0p00_T51,0,51,production_hybrid,1.1,358.116252,d66ba215cbcb7a775f462e622aa90a075b820843a00368923a7d27e9c482c9fd
xi_0p00_T51,0,51,production_hybrid,1.10625,357.970061,d66ba215cbcb7a775f462e622aa90a075b820843a00368923a7d27e9c482c9fd
xi_0p00_T51,0,51,production_hybrid,1.1125,357.823714,d66ba215cbcb7a775f462e622aa90a075b820843a00368923a7d27e9c482c9fd
xi_0p00_T51,0,51,production_hybrid,1.11875,357.677221,d66ba215cbcb7a775f462e622aa90a075b820843a00368923a7d27e9c482c9fd
xi_0p00_T51,0,51,production_hybrid,1.125,357.530595,d66ba215cbcb7a775f462e622aa90a075b820843a00368923a7d27e9c482c9fd
xi_0p00_T51,0,51,production_hybrid,1.13125,357.38385,d66ba215cbcb7a775f462e622aa90a075b820843a00368923a7d27e9c482c9fd
xi_0p00_T51,0,51,production_hybrid,1.1375,357.236997,d66ba215cbcb7a775f462e622aa90a075b820843a00368923a7d27e9c482c9fd
xi_0p00_T51,0,51,production_hybrid,1.14375,357.090048,d66ba215cbcb7a775f462e622aa90a075b820843a00368923a7d27e9c482c9fd
