surface,xi,xi_role,xi_left,xi_right,axis_low,axis_high,source_rows,coverage_status
maxwell,0.15,native_uniform,0.15,0.15,1.0,125.25,74,native_support
maxwell,0.15625,derived_uniform,0.15,0.1625,1.0,124.6875,76,interpolated_common_support
maxwell,0.1625,native_uniform,0.1625,0.1625,1.0,124.6875,70,native_support
maxwell,0.16875,derived_uniform,0.1625,0.175,1.0,124.1875,71,interpolated_common_support
maxwell,0.175,native_uniform,0.175,0.175,1.0,124.1875,69,native_support
maxwell,0.18125,derived_uniform,0.175,0.1875,1.0,123.625,72,interpolated_common_support
maxwell,0.1875,native_uniform,0.1875,0.1875,1.0,123.625,69,native_support
maxwell,0.19375,derived_uniform,0.1875,0.2,1.0,123.125,71,interpolated_common_support
maxwell,0.2,native_uniform,0.2,0.2,1.0,123.125,69,native_support
maxwell,0.20625,derived_uniform,0.2,0.225,1.0,122.0,70,interpolated_common_support
maxwell,0.2125,derived_uniform,0.2,0.225,1.0,122.0,70,interpolated_common_support
maxwell,0.21875,derived_uniform,0.2,0.225,1.0,122.0,70,interpolated_common_support
maxwell,0.225,native_uniform,0.225,0.225,1.0,122.0,68,native_support
maxwell,0.23125,derived_uniform,0.225,0.25,3.0,120.8125,69,interpolated_common_support
maxwell,0.2375,derived_uniform,0.225,0.25,3.0,120.8125,69,interpolated_common_support
maxwell,0.24375,derived_uniform,0.225,0.25,3.0,120.8125,69,interpolated_common_support
maxwell,0.25,native_uniform,0.25,0.25,3.0,120.8125,65,native_support
maxwell,0.25625,derived_uniform,0.25,0.2625,3.0,120.25,65,interpolated_common_support
maxwell,0.2625,native_uniform,0.2625,0.2625,1.0,120.25,64,native_support
maxwell,0.26875,derived_uniform,0.2625,0.275,1.0,119.625,67,interpolated_common_support
maxwell,0.275,native_uniform,0.275,0.275,1.0,119.625,64,native_support
maxwell,0.28125,derived_uniform,0.275,0.2875,13.0,119.0,60,interpolated_common_support
maxwell,0.2875,native_uniform,0.2875,0.2875,13.0,119.0,58,native_support
maxwell,0.29375,derived_uniform,0.2875,0.3,13.0,118.4375,65,interpolated_common_support
maxwell,0.3,native_uniform,0.3,0.3,1.0,118.4375,63,native_support
maxwell,0.30625,native_uniform,0.30625,0.30625,1.0,118.125,63,native_support
maxwell,0.3125,native_uniform,0.3125,0.3125,1.0,117.765625,63,native_support
maxwell,0.31875,native_uniform,0.31875,0.31875,1.0,117.5,63,native_support
maxwell,0.325,native_uniform,0.325,0.325,1.0,117.1875,63,native_support
maxwell,0.33125,derived_uniform,0.325,0.3375,1.0,116.5,68,interpolated_common_support
maxwell,0.3375,native_uniform,0.3375,0.3375,1.0,116.5,62,native_support
maxwell,0.34375,derived_uniform,0.3375,0.35,1.0,115.875,65,interpolated_common_support
maxwell,0.35,native_uniform,0.35,0.35,1.0,115.875,62,native_support
maxwell,0.35625,derived_uniform,0.35,0.3625,1.0,115.1875,66,interpolated_common_support
maxwell,0.3625,native_uniform,0.3625,0.3625,1.0,115.1875,64,native_support
maxwell,0.36875,derived_uniform,0.3625,0.375,1.0,114.5,65,interpolated_common_support
maxwell,0.375,native_uniform,0.375,0.375,1.0,114.5,63,native_support
maxwell,0.38125,native_uniform,0.38125,0.38125,1.0,114.1875,65,native_support
maxwell,0.3875,native_uniform,0.3875,0.3875,1.0,113.8125,64,native_support
maxwell,0.39375,native_uniform,0.39375,0.39375,1.0,113.4375,64,native_support
maxwell,0.4,native_uniform,0.4,0.4,1.0,113.1328125,65,native_support
maxwell,0.40625,derived_uniform,0.4,0.4125,1.0,112.375,65,interpolated_common_support
maxwell,0.4125,native_uniform,0.4125,0.4125,1.0,112.375,56,native_support
